x,y
464913.5470192852,3971576.180059291
464914.5993092228,3971575.8117678836
464915.59549069096,3971575.3372834525
464916.5657778389,3971574.8892281614
464917.546917902,3971574.509596673
464918.50873755815,3971574.0674602045
464919.4884789654,3971573.6793133835
464920.52009082877,3971573.239909666
464921.58840598585,3971572.762670243
464922.64687157987,3971572.287282325
464923.55138363084,3971571.8152332194
464924.5513869326,3971571.3259064713
464925.5632199519,3971570.8484409465
464926.5963593777,3971570.3814392537
464927.5789393115,3971569.9904317157
464928.51484698564,3971569.5779214734
464929.4175289593,3971569.1387686427
464930.4342637846,3971568.7023530807
464931.4876815897,3971568.1930277334
464932.4715369742,3971567.734749816
464933.4232050702,3971567.2742261244
464934.42196900275,3971566.860623218
464935.5125779816,3971566.4337869324
464936.54709163547,3971565.985425607
464937.47113186534,3971565.5911847088
464938.45555211644,3971565.1801294074
464939.4820475509,3971564.708986391
464940.509507556,3971564.2299820636
464941.5178178454,3971563.765883137
464942.6078480362,3971563.2933808593
464943.61101103463,3971562.8558576675
464944.58306029625,3971562.3034382765
464945.6020223561,3971561.8100196254
464946.54304097686,3971561.2529006703
464947.42628738075,3971560.7497333745
464948.11358836916,3971560.3087175535
464948.2377013504,3971560.1929106014
464948.26624865393,3971560.1082530865
464948.24509466277,3971560.0954300296
